,experiment_id,top_k,temperature,top_p,top_k_sampling,max_new_tokens,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_l_f1,rouge_l_precision,rouge_l_recall,bleu,meteor,bert_score_f1,bert_score_precision,bert_score_recall,embedding_similarity,faithfulness,composite_score,answer_length,retrieval_time,generation_time,evaluation_time,total_time,avg_retrieval_score
count,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0
mean,288.5,4.0,0.5,0.8999999999999999,40.0,512.0,0.09275776946708242,0.06009165292753729,0.2339120151960707,0.06246279051977193,0.04020636386677296,0.1616554890061312,0.007927390365925623,0.10716093854004144,0.38951160779429805,0.38232587464153767,0.39789278856996035,0.28651289352112347,0.32816107699333874,0.21988552416841733,420.6736111111111,0.010051882515350977,16.075090354101526,1.0047662456830342,17.08990848229991,0.705643060306708
std,166.42115250171776,1.0008691874739588,0.20017383749479042,0.05004345937369808,10.008691874739588,0.0,0.12272259345473108,0.0823283530074672,0.2955260534650972,0.08269432094495643,0.05464499596701119,0.21194201166230864,0.012026450136796877,0.1356558644923076,0.4213151331067029,0.41366588727690345,0.43103031338533054,0.33574888925794616,0.39698888942168536,0.24490526650310673,594.6659429627753,0.003622020161399206,21.147597207616496,0.8402241140314085,21.16769081127186,0.06777129262342795
min,1.0,3.0,0.3,0.85,30.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04488056138157844,-0.004488056138157844,0.0,0.006367206573486328,0.014383077621459961,0.6680848598480225,0.7485964298248291,0.5474076271057129
25%,144.75,3.0,0.3,0.85,30.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007071526665240525,0.0018517713546752927,0.0,0.006892859935760498,0.19032621383666992,0.8717938661575317,1.208009421825409,0.6663052588701248
50%,288.5,4.0,0.5,0.8999999999999999,40.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046522870659828186,0.01977839149534702,0.012138884745538236,17.0,0.010958194732666016,0.676842451095581,0.9042742252349854,1.7274681329727173,0.7149651646614075
75%,432.25,5.0,0.7,0.95,50.0,512.0,0.19754783619456368,0.11925245217844689,0.5322695035460993,0.13546080508474578,0.08179489264801561,0.34146341463414637,0.014319735351521288,0.24711350152917297,0.8466139733791351,0.8332440257072449,0.87224480509758,0.6466971039772034,0.8105849400162697,0.5028551390671023,794.75,0.011599183082580566,31.887798130512238,0.953322172164917,32.8528009057045,0.7487915307283401
max,576.0,5.0,0.7,0.95,50.0,512.0,0.39766081871345027,0.30864197530864196,0.8723404255319149,0.3269230769230769,0.22972972972972974,0.8333333333333334,0.060980674921598164,0.4234400350098198,0.9044809341430664,0.884543776512146,0.9254153966903687,0.9114234447479248,0.944399470090866,0.60381236133344,2586.0,0.0772709846496582,80.56208419799805,9.509975910186768,81.67610931396484,0.8060670495033264
